Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], |Z0| [Ohm] , Arg(Z0) [-]
1.359000e+09, 1.333625e-01, 7.164441e-01, 7.251910e-01, 2.496361e+00, -3.712194e-01, -5.471989e-01, 8.174052e-11, 4.227353e-11, 6.567279e-11, 6.183964e+01, -1.618797e-01
1.362800e+09, 1.334009e-01, 7.164356e-01, 7.251905e-01, 2.494409e+00, -3.722287e-01, -5.487669e-01, 8.183336e-11, 4.227560e-11, 6.571779e-11, 6.182347e+01, -1.623393e-01
1.366600e+09, 1.334387e-01, 7.164274e-01, 7.251905e-01, 2.492455e+00, -3.732381e-01, -5.503360e-01, 8.191638e-11, 4.227902e-11, 6.576521e-11, 6.180718e+01, -1.627983e-01
1.370400e+09, 1.334761e-01, 7.164196e-01, 7.251911e-01, 2.490499e+00, -3.742475e-01, -5.519062e-01, 8.198928e-11, 4.228377e-11, 6.581486e-11, 6.179077e+01, -1.632567e-01
1.374200e+09, 1.335129e-01, 7.164122e-01, 7.251922e-01, 2.488542e+00, -3.752571e-01, -5.534776e-01, 8.205181e-11, 4.228976e-11, 6.586659e-11, 6.177423e+01, -1.637144e-01
1.378000e+09, 1.335493e-01, 7.164051e-01, 7.251937e-01, 2.486583e+00, -3.762668e-01, -5.550502e-01, 8.210380e-11, 4.229693e-11, 6.592019e-11, 6.175757e+01, -1.641714e-01
1.381800e+09, 1.335851e-01, 7.163982e-01, 7.251957e-01, 2.484622e+00, -3.772767e-01, -5.566242e-01, 8.214515e-11, 4.230521e-11, 6.597549e-11, 6.174079e+01, -1.646275e-01
1.385600e+09, 1.336205e-01, 7.163917e-01, 7.251980e-01, 2.482661e+00, -3.782868e-01, -5.581994e-01, 8.217583e-11, 4.231452e-11, 6.603227e-11, 6.172390e+01, -1.650827e-01
1.389400e+09, 1.336553e-01, 7.163855e-01, 7.252007e-01, 2.480699e+00, -3.792971e-01, -5.597760e-01, 8.219588e-11, 4.232476e-11, 6.609033e-11, 6.170689e+01, -1.655369e-01
1.393200e+09, 1.336896e-01, 7.163795e-01, 7.252037e-01, 2.478736e+00, -3.803076e-01, -5.613540e-01, 8.220540e-11, 4.233584e-11, 6.614944e-11, 6.168977e+01, -1.659901e-01
1.397000e+09, 1.337233e-01, 7.163738e-01, 7.252070e-01, 2.476774e+00, -3.813184e-01, -5.629334e-01, 8.220458e-11, 4.234766e-11, 6.620940e-11, 6.167255e+01, -1.664422e-01
1.400800e+09, 1.337566e-01, 7.163683e-01, 7.252104e-01, 2.474811e+00, -3.823295e-01, -5.645142e-01, 8.219366e-11, 4.236011e-11, 6.626997e-11, 6.165522e+01, -1.668932e-01
1.404600e+09, 1.337893e-01, 7.163630e-01, 7.252140e-01, 2.472848e+00, -3.833409e-01, -5.660965e-01, 8.217295e-11, 4.237309e-11, 6.633094e-11, 6.163779e+01, -1.673430e-01
1.408400e+09, 1.338216e-01, 7.163579e-01, 7.252177e-01, 2.470886e+00, -3.843526e-01, -5.676802e-01, 8.214281e-11, 4.238648e-11, 6.639209e-11, 6.162027e+01, -1.677915e-01
1.412200e+09, 1.338534e-01, 7.163529e-01, 7.252214e-01, 2.468925e+00, -3.853647e-01, -5.692654e-01, 8.210368e-11, 4.240017e-11, 6.645319e-11, 6.160266e+01, -1.682389e-01
1.416000e+09, 1.338847e-01, 7.163481e-01, 7.252252e-01, 2.466965e+00, -3.863770e-01, -5.708520e-01, 8.205604e-11, 4.241404e-11, 6.651403e-11, 6.158496e+01, -1.686849e-01
1.419800e+09, 1.339156e-01, 7.163434e-01, 7.252289e-01, 2.465006e+00, -3.873897e-01, -5.724401e-01, 8.200043e-11, 4.242798e-11, 6.657439e-11, 6.156717e+01, -1.691296e-01
1.423600e+09, 1.339461e-01, 7.163387e-01, 7.252325e-01, 2.463048e+00, -3.884027e-01, -5.740296e-01, 8.193744e-11, 4.244186e-11, 6.663407e-11, 6.154931e+01, -1.695730e-01
1.427400e+09, 1.339762e-01, 7.163341e-01, 7.252360e-01, 2.461092e+00, -3.894161e-01, -5.756206e-01, 8.186769e-11, 4.245558e-11, 6.669287e-11, 6.153137e+01, -1.700151e-01
1.431200e+09, 1.340059e-01, 7.163296e-01, 7.252392e-01, 2.459137e+00, -3.904297e-01, -5.772130e-01, 8.179187e-11, 4.246902e-11, 6.675060e-11, 6.151337e+01, -1.704559e-01
1.435000e+09, 1.340352e-01, 7.163250e-01, 7.252423e-01, 2.457184e+00, -3.914437e-01, -5.788067e-01, 8.171066e-11, 4.248207e-11, 6.680706e-11, 6.149530e+01, -1.708953e-01
1.438800e+09, 1.340643e-01, 7.163205e-01, 7.252451e-01, 2.455233e+00, -3.924580e-01, -5.804018e-01, 8.162482e-11, 4.249461e-11, 6.686210e-11, 6.147717e+01, -1.713334e-01
